习惯;xíguàn;habit,get used to
往返;wǎngfǎn;round trip
并且;bìngqiě;and, also
航班;hángbān;flight
起飞;qǐfēi;to take off
推迟;tuīchí;to put off, to postpone, to delay
班;bān;flight (measure word)
宋朝;sòngcháo;Song dynasty
画家;huàjiā;painter
虎;hǔ;tiger
马;mǎ;horse
匹;pǐ;Measure word for horses
只;zhī;Measure word for animals (general)
打猎;dǎliè;to hunt
以为;yǐwéi;to believe, to think
赔;péi;to compensate
野外;yěwài;countryside
距离;jùlí;distance
乐趣;lèqù;joy, fun
气氛;qìfēn;atmosphere
感触;gǎnchù;one’s thoughts and feelings
绝对;juéduì;absolutely
珍惜;zhēnxī;cherish
科学（家）;kēxué (jiā);scientist
成为;chéngwéi;to become
精神;jīngshén;spirit
出生;chūshēng;to be born
电灯;diàndēng;light
发明;fāmíng;invention/ to invent
放弃;fàngqì;to give up
成功;chénggōng;success
服务费;fúwù fèi;service fee, cover charge
推出;tuīchū;to push out, to release
国际;guójì;international
酒店;jiǔdiàn;hotel
家庭;jiātíng;household, family
自助餐;zìzhùcān;buffet
海鲜;hǎixiān;seafood
专门;zhuānmén;specialized, customized
为;wèi;as, to act as, for (the sake of), to be, to do
享受;xiǎngshòu;to enjoy, to appreciate
仔细;zixì;careful
对象;duìxiàng;partner, boyfriend, girlfriend,person
完全;wánquán;completely
亲戚;qīnqi;relatives
优秀;yōuxiù;excellent, outstanding
责任;zérèn;responsibility
挑选;tiāoxuǎn;to pick
帅;shuài;handsome
温柔;wēnróu;gentle
幸福;xìngfú;happiness
结婚;jiéhūn;to get married
段（量词）;duàn;period of
感受;gǎnshòu;to sense, to feel, a feeling, an experience
经历;jīnglì;experience, to experience, to go through
可怕;kěpà;horrible
咽喉;yānhóu;throat
中毒;zhòngdú;to be poisoned, poisoning
食物;shíwù;food
需要;xūyào;need
地道;dìdào;authentic, genuine, local
好客;hàokè;hospitable, friendly, good at hosting others
夹;jiā;to wedge between, to clip, to press from either side
碟子;diézi;saucer, plate, dish
一会儿;yìhuìr;a moment, a while, a bit
实在;shízài;really, actually, indeed, true, honest
速度;sùdù;speed, pace
留;liú;to leave (a message), to remain, to retain, to stay
羡慕;xiànmù;envy, admire
福利;fúlì;welfare
顺利;shùnlì;smooth going,smoothly
制度;zhìdù;asystem
硕士;shuòshì;Master's degree
适应;shìyìng;"to adapt; to accommodate"
能力;nénglì;"ability; capability"
态度;tàidù;attitude
年假;niánjià;annual leave
不仅;bùjǐn;not only
不管;bùguǎn;Regardless of
与;yǔ;versus
丰富;fēngfù;rich
举;jǔ;Give
举办;jǔbàn;Organized
举行;jǔxíng;Hold
之;zhī;It
乒乓球;pīngpāng qiú;pingpong
云;yún;cloud
互联网;hùliánwǎng;the Internet
付款;fùkuǎn;payment
以;yǐ;To
任务;rènwù;task
优点;yōudiǎn;advantage
传真;chuánzhēn;fax
低;dī;low
作家;zuòjiā;writer
作者;zuòzhě;Author
使;shǐ;Make
例如;lìrú;E.g
信心;xìnxīn;confidence
信息;xìnxī;information
俩;liǎ;both
修理;xiūlǐ;repair
假;jiǎ;vacation
儿童;értóng;child
免费;miǎnfèi;free
入口;rùkǒu;Entrance
全部;quánbù;All
公里;gōnglǐ;Km
共同;gòngtóng;common
内;nèi;Inside
凉快;liángkuai;Cool
出现;chūxiàn;appear
刀;dāo;Knife
判断;pànduàn;judgment
到底;dàodǐ;in the end
力气;lìqì;strength
加油站;jiāyóu zhàn;GAS
动作;dòngzuò;action
勺子;sháozi;Spoon
包子;bāozi;bun
占线;zhànxiàn;Busy
即使;jíshǐ;even if
却;què;but
厕所;cèsuǒ;WC
厚;hòu;thick
取;qǔ;take
只好;zhǐhǎo;Only
只要;zhǐyào;as long as
叶子;yèzi;leaf
吃惊;chījīng;be surprised
合格;hégé;qualified
同时;tóngshí;Simultaneously
否则;fǒuzé;otherwise
呀;ya;Yeah
味道;wèidào;taste
咱们;zánmen;we
咸;xián;salty
困;kùn;sleepy
困难;kùnnán;difficult
国籍;guójí;Country of Citizenship
场;chǎng;field
垃圾桶;lèsè tǒng;trash can
填空;tiánkòng;fill in the blank
增加;zēngjiā;increase
复印;fùyìn;copy
复杂;fùzá;complex
大夫;dàfū;doctor
大约;dàyuē;about
存;cún;Save
学期;xuéqí;semester
富;fù;rich
寒假;hánjià;winter vacation
对于;duìyú;for
对面;duìmiàn;opposite
将来;jiānglái;future
小伙子;xiǎohuǒzi;Young man
小说;xiǎoshuō;Fiction
尝;cháng;taste
尤其;yóuqí;especially
师傅;shīfù;master
平时;píngshí;usually
应聘;yìngpìn;Candidates
底;dǐ;bottom
座;zuò;seat
弹钢琴;dàn gāngqín;play piano
律师;lǜshī;lawyer
得意;déyì;proud
怀疑;huáiyí;doubt
性别;xìngbié;gender
总结;zǒngjié;to sum up
感情;gǎnqíng;feeling
感觉;gǎnjué;feel
懒;lǎn;lazy
所有;suǒyǒu;all
打印;dǎyìn;print
批评;pīpíng;criticism
抬;tái;lift
抱;bào;hold
抽烟;chōuyān;smokes
拉;lā;Pull
指;zhǐ;Means
按照;ànzhào;according to
挺;tǐng;very
掉;diào;Off
排列;páiliè;arrangement
接着;jiēzhe;then
推;tuī;Push
提;tí;mention
收;shōu;Close
收拾;shōushí;pack
放暑假;fàng shǔjià;summer holiday
教授;jiàoshòu;professor
散步;sànbù;Walking
数量;shùliàng;Quantity
敲;qiāo;knock
方向;fāngxiàng;direction
旅行;lǚxíng;travel
无论;wúlùn;regardless
既然;jìrán;since
日记;rìjì;diary
是否;shìfǒu;whether
普通话;pǔtōnghuà;Mandarin
景色;jǐngsè;view
暂时;zhànshí;temporarily
暖和;nuǎnhuo;warm
最好;zuì hǎo;the best
有趣;yǒuqù;interesting
本来;běnlái;originally
材料;cáiliào;material
来得及;láidéjí;It's too late
来自;láizì;From
果汁;guǒzhī;fruit juice
标准;biāozhǔn;standard
样子;yàngzi;Looks like
桥;qiáo;bridge
梦;mèng;dream
棒;bàng;Baton
植物;zhíwù;plant
橡皮;xiàngpí;Rubber
正好;zhènghǎo;Exactly
正确;zhèngquè;correct
死;sǐ;dead
母亲;mǔqīn;mother
比如;bǐrú;such as
毛;máo;hair
毛巾;máojīn;towel
汗;hàn;sweat
污染;wūrǎn;Pollution
流利;liúlì;fluent
海洋;hǎiyáng;ocean
温度;wēndù;temperature
满;mǎn;full
演出;yǎnchū;show
演员;yǎnyuán;actor
火;huǒ;fire
烤鸭;kǎoyā;Roast Duck
照;zhào;According to
爱情;àiqíng;love
父亲;fùqīn;father
牙膏;yágāo;toothpaste
理发;lǐfǎ;Haircut
甚至;shènzhì;even
生意;shēngyì;business
生活;shēnghuó;life
由;yóu;by
由于;yóuyú;due to
登机牌;dēng jī pái;boarding pass
百分之;bǎi fēn zhī;percent
皮肤;pífū;skin
目的;mùdì;purpose
相反;xiāngfǎn;in contrast
相同;xiāngtóng;the same
省;shěng;province
矿泉水;kuàngquán shuǐ;mineral water
研究;yánjiū;the study
破;pò;broken
礼拜天;lǐbài tiān;Sunday
社会;shèhuì;society
秒;miǎo;second
租;zū;rent
笨;bèn;stupid
篇;piān;Articles
糖;táng;sugar
经济;jīngjì;economic
网球;wǎngqiú;tennis
美丽;měilì;beautiful
羽毛球;yǔmáoqiú;badminton
翻译;fānyì;translation
老虎;lǎo hǔ;tiger
而;ér;and
肚子;dùzi;belly
肯定;kěndìng;sure
胳膊;gēbó;arm
脱;tuō;Off
至少;zhìshǎo;at least
节;jié;Festival
苦;kǔ;bitter
著名;zhùmíng;famous
葡萄;pútáo;grape
行;xíng;Row
表格;biǎogé;form
袜子;wàzi;sock
要是;yàoshi;if
观众;guānzhòng;Audience
记者;jìzhě;reporter
许多;xǔduō;a lot of
证明;zhèngmíng;prove
词语;cíyǔ;Words
详细;xiángxì;detailed
语法;yǔfǎ;grammar
语言;yǔyán;Language
说明;shuōmíng;Description
调查;diàochá;survey
谈;tán;talk
赚;zhuàn;earn
赶;gǎn;Rush
超过;chāoguò;exceed
转;zhuǎn;turn
轻;qīng;light
输;shū;lose
连;lián;even
适合;shìhé;Suitable for
遍;biàn;all over
郊区;jiāoqū;suburbs
部分;bùfèn;section
酸;suān;acid
醒;xǐng;wake
重点;zhòngdiǎn;Focus
错误;cuòwù;error
镜子;jìngzi;mirror
长江;chángjiāng;Yangtze
阳光;yángguāng;sunlight
降低;jiàngdī;reduce
降落;jiàngluò;landing
随着;suízhe;along with
难道;nándào;Is it
零钱;língqián;small change
页;yè;page
顺便;shùnbiàn;By the way
顺序;shùnxù;order
顾客;gùkè;customer
预习;yùxí;Preview
饼干;bǐnggān;Cookies
首先;shǒuxiān;First of all
马虎;mǎhǔ;careless
高速公路;gāosù gōnglù;highway
