挨着;āi zhe;"next to; close to"
发病;fā bìng;"onset; morbidity; pathogenesis; outbreak; fall ill"
发电;fā diàn;"generate electricity; power generation"
发放;fā fàng;"provide; grant; extend; give out; issue"
发怒;fā nù;"get angry; fly into a rage; flare up; huff"
发起;fā qǐ;"initiate; sponsor; start; launch"
发言人;fā yán rén;"spokesman; spokesperson; addressor; prolocutor"
发炎;fāyán;inflammation
法庭;fǎ tíng;"court; tribunal"
法语;fǎ yǔ;French language
番;fān;Some
番茄;fān qié;tomato
凡是;fánshì;All
繁殖;fánzhí;Reproduction
反抗;fǎnkàng;Resistance
反问;fǎnwèn;rhetorical question
反响;fǎn xiǎng;"repercussion; echo; reverberation; reaction"
犯;fàn;"commit; offend; violate; work against; criminal"
犯规;fàn guī;foul
犯罪;fàn zuì;"commit a crime; offense; crime"
防范;fáng fàn;"be on guard; keep a lookout"
防守;fángshǒu;Defense
房价;fáng jià;house price
仿佛;fǎngfú;as if
飞船;fēi chuán;"spaceship; airship; dirigible; areoboat; vehicle"
飞行员;fēi xíng yuán;"aviator; pilot"
肺;fèi;lung
分工;fēn gōng;"division of labor; divide the work"
分裂;fēnliè;division
愤怒;fènnù;anger
风暴;fēngbào;Storm
峰会;fēng huì;"summit; summit meeting"
奉献;fèngxiàn;dedicate
佛;fó;"Buddha; Buddhism"
佛教;fó jiào;Buddhism
服;fú;"clothes; dress; serve; take; be convinced; be accustomed to"
浮;fú;"float; swim; superficial; movable; temporary; pumice"
父女;fù nǚ;father and daughter
父子;fù zǐ;father and son
负;fù;"negative; load; loss; defeat; bear; carry; lose; owe"
妇女;fùnǚ;Woman
复苏;fù sū;"resuscitate; recovery; come to; revive"
副（形）;fù;"secondary; auxiliary; subsidiary"
副（量）;fù;(measure word)
富人;fù rén;the rich
富有;fù yǒu;"rich; wealthy; richness; abound"
改装;gǎi zhuāng;"repack; refit; reequip"
干涉;gānshè;interference
肝;gān;liver
杆;gān;"pole; staff"
赶不上;gǎn bú shàng;"can’t catch up with; fall behind; can’t keep up"
赶忙;gǎn máng;"hurry; hasten; make haste; quickly"
赶上;gǎn shàng;"overtake; catch up; emulate; keep up"
敢于;gǎn yú;"dare to; be bold in; have the courage to; venture"
感人;gǎn rén;"moving; touching"
刚好;gāng hǎo;"just; exactly; happen to"
岗位;gǎngwèi;post
港口;gǎngkǒu;Port
高层;gāo céng;"high level; high class; high-rise"
高档;gāodàng;High-grade
高等;gāo děng;"higher; advanced; high; of a higher level"
高峰;gāofēng;peak
高考;gāo kǎo;college entrance examination
高科技;gāo kē jì;"high technology; high tech"
高手;gāo shǒu;"master; past master; master hand; ace"
稿子;gǎo zi;"manuscript; draft; sketch"
歌唱;gē chàng;"sing; singing"
歌词;gē cí;"lyric; lyrics; libretto"
歌星;gē xīng;"singer; singing star"
革新;gé xīn;"innovation; renovation"
更是;gèng shì;"more; even more"
工商;gōng shāng;industry and commerce
公;gōng;"public; fair; impartial; male; public affairs; make public"
公安;gōng ān;"public security; police; ministry of public security"
公鸡;gōng jī;"cock; rooster"
公众;gōng zhòng;public
公主;gōngzhǔ;princess
攻击;gōngjī;attack
供给;gōngjǐ;supply
宫;gōng;"palace; temple; uterus; place for recreation"
巩固;gǒnggù;consolidate
贡献;gòngxiàn;contribution
构建;gòu jiàn;"structure; construct"
孤独;gūdú;lonely
孤儿;gū ér;orphan
姑姑;gūgu;aunt
古典;gǔdiǎn;classical
股;gǔ;"thigh; portion; share; strand"
股东;gǔdōng;stockholder
股票;gǔpiào;"shares; stock"
故障;gùzhàng;fault
顾;gù;"look at; look after; attend; turn around and look at"
刮;guā;"scratch; shave; fleece; extort; blow; shaving"
拐;guǎi;"abduct; kidnap; turn; crutch"
关爱;guān ài;"care; caring"
关联;guān lián;"relevance; relevancy; be related; be connected; be linked"
观光;guānguāng;Sightseeing
官司;guān si;lawsuit
管道;guǎn dào;"pipeline; channel; tunnel; piping; tubing"
光辉;guānghuī;Glory
广阔;guǎngkuò;wide
轨道;guǐdào;track
跪;guì;kneel
国产;guó chǎn;"domestic; made in one’s country"
国歌;guó gē;national anthem
国会;guó huì;"parliament ; congress"
国旗;guó qí;national flag
国王;guówáng;king
果酱;guǒ jiàng;"jam; squish; marmalade"
果树;guǒ shù;"fruiter; fruit tree"
过渡;guòdù;transition
过后;guò hòu;"afterwards; later; after"
过时;guò shí;"obsolete; outdate; outmode; out of style"
海报;hǎi bào;"poster; playbill"
海底;hǎi dǐ;"seabed ; seafloor"
海军;hǎi jūn;navy
海浪;hǎi làng;sea wave
海外;hǎi wài;"overseas; abroad"
海湾;hǎi wān;"bay; gulf"
海洋;hǎiyáng;ocean
好（不）容易;hǎo （bù） róng yì;"with great difficulty; have a hard time (doing sth.)"
好似;hǎo sì;"seem; be like"
好转;hǎo zhuǎn;"get better; improve"
好学;hào xué;"studious; fond of learning"
合约;hé yuē;"treaty; contract; arrangement; deal"
和谐;héxié;Harmonious
核心;héxīn;core
黑夜;hēi yè;night
很难说;hěn nán shuō;hard to say
狠;hěn;"ruthless; relentless; firm; resolute; suppress; harden"
横;héng;"harsh and unreasonable; perverse"
衡量;héng liáng;"weigh; measure; scale; weight"
宏大;hóng dà;"grand; great"
洪水;hóngshuǐ;Flood
忽略;hūlüè;ignore
壶;hú;pot
互动;hù dòng;"interactive; interaction"
户外;hù wài;outdoor
护;hù;"protect; shield"
花费;huā fèi;"spend; expend; cost; spending"
花瓶;huā píng;"vase; jardiniere"
花生;huāshēng;peanut
化解;huà jiě;"resolve; dissolve; defuse; solution"
幻想;huànxiǎng;fantasy
患者;huànzhě;Patient
皇帝;huángdì;Emperor
回应;huí yìng;"response; respond"
毁;huǐ;"destroy; ruin; damage; defame"
会见;huì jiàn;"meet with; pay a visit"
会长;huì zhǎng;"president; chairman; president of an organization"
绘画;huì huà;"paint; draw; drawing; painting"
昏;hūn;"faint; lose consciousness; dusk; twilight; dull; muddle-headed"
混;hùn;"mix; confuse; pass off; muddle along; get along with sb."
混合;hùnhé;blend
混乱;hùnluàn;confusion
活跃;huóyuè;active
火箭;huǒjiàn;rocket
机动车;jī dòng chē;motor vehicle
机关;jī guān;"mechanism; gear; machine-operated; office; organ; intrigue"
机械;jīxiè;Mechanics
基督教;jī dū jiào;"Christianity; the Christian religion; Christian"
激情;jīqíng;Passion
吉利;jí lì;"lucky; auspicious; propitious"
吉祥;jíxiáng;"lucky; auspicious"
极端;jíduān;extreme
急救;jí jiù;"first aid; emergency treatment"
疾病;jíbìng;disease
集;jí;"gather; collect; collection; anthology; country fair; part"
给予;jǐyǔ;give
加盟;jiā méng;join
家电;jiā diàn;home appliances
家园;jiā yuán;"home; homeland; homestead"
嘉宾;jiābīn;Distinguished guest
假日;jià rì;holiday
尖;jiān;"pointed; shrill; sharp; acute; point; tip; top"
监测;jiān cè;monitor
监督;jiāndū;supervise
捡;jiǎn;pick up
简介;jiǎn jiè;"brief introduction; synopsis; summary"
剑;jiàn;sword
鉴定;jiàndìng;Appraisal
箭;jiàn;arrow
将军;jiāngjūn;General
讲课;jiǎng kè;"teach; lecture"
酱;jiàng;"sauce; paste; jam; thick sauce"
酱油;jiàngyóu;soy sauce
骄傲;jiāo’ào;Proud
焦点;jiāodiǎn;focus
脚印;jiǎo yìn;"footprint; footmark; track"
觉;jiào;sleep
教堂;jiào táng;"church; cathedral; chapel"
教育部;jiào yù bù;Ministry of Education
接收;jiē shōu;"receive; accept; take over; admit"
揭;jiē;"tear off; take off; uncover; lift; expose; show up; bring to light"
街头;jiē tóu;street
节（动）;jié;"economize; save; abridge"
节假日;jié jià rì;"holidays; festival and holiday"
节能;jié néng;"energy conservation; energy saving"
节奏;jiézòu;rhythm
杰出;jiéchū;outstanding
截止;jiézhǐ;due
截至;jiézhì;By (time）
解;jiě;"separate; divide; untie; allay; explain; understand"
解说;jiě shuō;"explain orally; comment; definition; narrate"
界;jiè;"boundary; scope; extent; kingdom; group; bound"
界（文艺界）;jiè （wén yì jiè）;"circles; world (circle of literature and art)"
借鉴;jièjiàn;take example by
金额;jīn é;"money; sum; amount"
金钱;jīn qián;money
金融;jīnróng;Finance
尽;jìn;"exhaust; finish; to the limit; use up; exhaust"
进攻;jìngōng;attack
近日;jìn rì;"recently; in the past few days"
近视;jìn shì;"myopia; short sight"
惊人;jīng rén;"astonishing; amazing; alarming"
惊喜;jīng xǐ;"surprise; pleasantly surprised"
精;jīng;"skilled; refined; excellent; precise; smart; sharp; essence; energy"
精美;jīng měi;"exquisite; elegant; fineness; refineness"
精品;jīng pǐn;boutique
井;jǐng;well
景;jǐng;"view; scenery; scene; situation; admire; revere"
景点;jǐng diǎn;"attractions; scenic spot"
净;jìng;"clean; empty; net; cleanse; wash; only; merely"
纠纷;jiūfēn;"dissension; tangle"
纠正;jiūzhèng;correct
酒水;jiǔ shuǐ;"drinks; beverage; booze"
救命;jiù mìng;"help; save life"
救援;jiù yuán;"rescue; succor; support"
救助;jiù zhù;"succour; salvation; help sb. in danger or difficulty"
就是说;jiù shì shuō;"that is; in other words; namely"
就算;jiù suàn;"even if; granted that"
局（量）;jú;(measure word)
剧;jù;"theatrical work; drama; play; opera; acute; severe; intense"
据;jù;"according to; seize; depend on; evidence"
捐;juān;Donate
捐款;juān kuǎn;"donate; donation; donate money; contribute funds"
捐赠;juān zèng;"contribute; donate; present"
捐助;juān zhù;"offer; contribute; donate; donation"
决策;juécè;make policy
觉悟;juéwù;consciousness
绝;jué;"cut off; exhausted; desperate; unique; extremely; most; absolutely"
绝大多数;jué dà duō shù;"most of; overwhelming majority"
军队;jūnduì;army
军舰;jūn jiàn;"warship; military naval ship"
军事;jūnshì;Military
开创;kāi chuàng;"start; initiate; begin"
开关;kāi guān;"switch; power switch"
开设;kāi shè;"open; set up; establish; offer"
开通;kāi tōng;"open; clear; dredge; open-minded; liberal"
开头;kāi tóu;"begin; start; beginning"
开夜车;kāi yè chē;"drive at night; work at night; work late into the night"
看;kàn;see
看管;kān guǎn;"look after; guard; watch; attend"
看得见;kàn de jiàn;"visible; noticeable"
看得起;kàn de qǐ;"think highly of; have a good opinion of"
看好;kàn hǎo;"look to further increase; optimistic about"
看作;kàn zuò;"see; regard as; look upon"
康复;kāng fù;"recovery; rehabilitation"
抗议;kàngyì;Protest
考场;kǎo chǎng;"examination hall; examination room"
考题;kǎo tí;"examination questions; examination paper"
科研;kē yán;"research; scientific research"
客车;kè chē;"bus; coach"
肯;kěn;"agree; consent; be willing to; be ready to"
空军;kōng jūn;"air force; air service"
口试;kǒu shì;"oral examination; oral test"
扣;kòu;button
酷;kù;"cool; cruel; brutal; oppressive; very; extremely"
跨;kuà;Cross
快车;kuài chē;"express train; express bus"
宽阔;kuān kuò;"broad; wide; expanse; spacious"
矿;kuàng;"mine; ore"
阔;kuò;"wide; broad; rich; vast; wealthy"
啦;la;auxiliary word
来往;lái wǎng;"contact; dealing; intercourse; come and go"
赖;lài;"rely; poor; bilk ; disclaim"
栏目;lánmù;column
蓝领;lán lǐng;"blue-collar worker; blue collar"
蓝天;lán tiān;blue sky
懒;lǎn;lazy
牢;láo;"fold; pen; prison; jail; durable"
老乡;lǎo xiāng;"fellow-villager; fellow-townsma"
冷气;lěng qì;"air conditioning; cool air"
冷水;lěng shuǐ;"cold water; unboiled water"
礼堂;lǐ táng;"hall; assembly hall; auditorium"
理;lǐ;"reason; truth; texture; to manage"
理财;lǐ cái;"manage finances; conduct financial transactions"
理智;lǐzhì;reasonable
力（影响力）;lì （yǐng xiǎng lì）;"ability; capability (influence)"
利;lì;"sharp; favourable; advantage; benefit; profit; interest"
联盟;liánméng;union
联赛;lián sài;league
联手;lián shǒu;join hands
凉鞋;liáng xié;sandal
两侧;liǎng cè;"both sides; two flanks"
两手;liǎng shǒu;"two hands; dual tactics"
聊;liáo;"merely; just; a little; slightly; chat; rely on"
聊天儿;liáo tiānr;chat
料（动）;liào;"expect; anticipate; guess"
料（名）;liào;"material; feed; stuff; grain"
裂;liè;"crack; split; flaw"
灵活;línghuó;flexible
领取;lǐng qǔ;"draw; receive; pull down"
领袖;lǐngxiù;leader
另;lìng;"another; other; separately"
留言;liú yán;"leave a message; leave comments"
流感;liú gǎn;"flu; influenza"
楼道;lóu dào;corridor
楼房;lóu fáng;"building; storied building"
露;lòu;"reveal; show"
陆军;lù jūn;"army; ground force; land force"
录像;lù xiàng;"video; video tape"
录音机;lù yīn jī;"recorder; sound recorder; transcription machine"
路过;lù guò;pass by
露;lù;"reveal; expose; show; betray; dew"
旅店;lǚ diàn;"inn; hostel; hotel"
绿化;lǜ huà;"greening; afforest"
马车;mǎ chē;"carriage; wagon"
嘛;ma;(auxiliary word)
埋;mái;"cover; bury"
馒头;mántou;Steamed buns
慢车;màn chē;"slow train; local; slow train"
盲人;máng rén;"blind; blindman"
梅花;méi huā;"plum blossom; plum flower"
美容;měi róng;"beauty; cosmetology"
蒙;mēng;"cheat; deceive; make a wild guess; unconscious"
蒙;méng;"cover; encounter; come under; receive"
猛;měng;"fierce; violent; abrupt; suddenly; with a rush"
棉;mián;cotton
免得;miǎndé;lest
面对面;miàn duì miàn;"face to face; surface-to-surface"
面向;miàn xiàng;"turn in the direction of; face; turn towards"
妙;miào;"wonderful; clever; excellent; fine; subtle"
灭;miè;"destroy; extinguish; exterminate; drown; put out"
民歌;mín gē;"folk song; ballad"
民工;mín gōng;"migrant workers; civilian worker"
民警;mín jǐng;"people’s police; people’s policeman"
民意;mín yì;"public opinion; popular will; public will"
民主;mínzhǔ;democratic
名额;míng’é;Places
名胜;míng shèng;"a place of interest; scenic spot"
名义;míng yì;"name; titular"
名誉;míngyù;reputation
明日;míng rì;tomorrow
命（名）;mìng;"life; order; fate"
膜;mó;membrane
磨;mó;"rub; wear; grind; polish; dawdle"
没收;mò shōu;"confiscate; expropriate"
墨水;mò shuǐ;"ink; writing ink"
母;mǔ;"mother; female"
母鸡;mǔ jī;hen
母女;mǔ nǚ;mother and daughter
母子;mǔ zǐ;"mother and son; mother and child"
墓;mù;"tomb; grave; mausoleum"
拿走;ná zǒu;take away
奶粉;nǎi fěn;"milk powder; dried milk"
奶牛;nǎi niú;"cow; dairy cattle; milk cow"
难忘;nán wàng;"unforgettable; memorable; indelibility"
内地;nèi dì;"inland; interior; mainland"
内外;nèi wài;"inside and outside; around"
内衣;nèi yī;"underwear; underclothes; undies"
能否;néng fǒu;"can; whether"
泥;ní;"mud; mire; mashed vegetable; sludge"
扭;niǔ;"twist; wrench; sprain; grapple; contortion"
排行榜;pái háng bǎng;"leaderboard; ranking list"
派出;pài chū;"send; dispatch"
判;pàn;"discriminate; judge; sentence; obviously"
盼望;pànwàng;look forward to
泡;pào;"bubble; steep; soak"
炮;pào;"cannon; gun; firecracker; artillery piece"
陪同;péi tóng;"accompany; companion"
配置;pèi zhì;"configuration; deploy"
皮球;pí qiú;"rubber ball; ball"
偏;piān;"partial; prejudiced; inclined to one side; lean"
贫困;pínkùn;Poor
品牌;pǐn pái;brand
聘请;pìn qǐng;"hire; engage; invite"
平凡;píngfán;ordinary
平方米;píng fāng mǐ;square metre
平衡;pínghéng;balance
平台;píng tái;"platform; terrace"
评;píng;"comment; review; criticize; judge"
评选;píng xuǎn;"appraise and elect; choose"
屏幕;píngmù;screen
坡;pō;slope
扑;pū;Flutter
铺;pū;spread
欺负;qīfu;bully
奇妙;qímiào;wonderful
企图;qǐtú;Attempt
起点;qǐ diǎn;"starting point; outset"
起诉;qǐ sù;"prosecute; sue; bring a lawsuit"
气氛;qìfēn;atmosphere
恰当;qiàdàng;appropriate
恰好;qià hǎo;"just right; exactly right"
恰恰;qià qià;"just; exactly; precisely"
牵;qiān;Pull
铅笔;qiānbǐ;pencil
谦虚;qiānxū;Modest
前方;qián fāng;"ahead; the front"
前来;qián lái;come
潜力;qiánlì;potential
强盗;qiáng dào;"robber; bandit"
强化;qiáng huà;"strengthen; intensify; strengthening"
强势;qiáng shì;"strong; mighty"
强壮;qiáng zhuàng;"strong; sturdy; robust"
桥梁;qiáoliáng;bridge
巧妙;qiǎomiào;clever
茄子;qié zi;eggplant
切实;qièshí;practical
侵犯;qīnfàn;Violation
亲属;qīn shǔ;"kinsfolk; relatives; cognate"
亲眼;qīn yǎn;"with one’s own eyes; personally"
倾向;qīngxiàng;inclination
清;qīng;"clear; quiet; distinct; thoroughly; the Qing Dynasty"
清洁;qīngjié;clean
清洁工;qīng jié gōng;"dustman; cleaner"
清明节;qīng míng jié;"Tomb-Sweeping Day; Ching Ming Festival"
清洗;qīng xǐ;"wash; clean; rinse; purge; comb out"
情绪;qíngxù;emotion
求职;qiú zhí;"job hunting; job wanted"
球拍;qiú pāi;"racket; racquet"
球星;qiú xīng;star
球员;qiú yuán;player
区分;qūfēn;Distinguish
渠道;qúdào;channel
取款;qǔ kuǎn;withdrawal
取款机;qǔ kuǎn jī;"ATM; cash dispenser"
去掉;qù diào;"get rid of; do away with; take out"
权;quán;"power; authority; right; tentatively"
权力;quánlì;power
全力;quán lì;"full force; all-out; sparing no effort"
全新;quán xīn;"new; brand new"
券;quàn;"certificate; ticket"
缺陷;quēxiàn;defect
却是;què shì;"nevertheless; however"
让座;ràng zuò;offer one’s seat to sb.
热点;rè diǎn;"hot spot; hot point"
热水;rè shuǐ;hot water
热水器;rè shuǐ qì;"water heater; hot-water heater"
热线;rè xiàn;hotline
人权;rén quán;human rights
认同;rèn tóng;"identify with; self-identity; acknowledge"
日夜;rì yè;"day and night; round the clock"
日语;rì yǔ;Japanese language
融合;róng hé;"fuse; merge; mix"
融入;róng rù;"assimilate into; blend in"
如;rú;"as; if; according to"
如一;rú yī;consistent
乳制品;rǔ zhì pǐn;dairy product
入;rù;"enter; join; income"
入学;rù xué;"admission; start school"
若;ruò;"like; seem; as; if"
塞;sāi;"fill in; squeeze; stuff; stopper"
赛;sài;"match; compete; contest; competition"
赛场;sài chǎng;"arena; competition terrain"
三明治;sān míng zhì;sandwich
丧失;sàngshī;lose
山峰;shān fēng;mountain peak
山谷;shān gǔ;valley
山坡;shān pō;"hillside; mountain slope"
伤口;shāng kǒu;"wound; cut"
伤亡;shāng wáng;"injuries and deaths; casualties"
伤员;shāng yuán;wounded
商城;shāng chéng;mall
